departmentId,departmentName,facultyId,facultyName,id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
genshiryoku,原子力安全工学科,rikou,理工学部,LA-332,国際化と異文化理解(b),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,国際化と異文化理解(b)                Ｇ          1                                 1              LA-332   10     30   10   20   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-13F,日本文化の伝承(a),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本文化の伝承(a)                  Ｇ          1           1                                    LA-13F   10     30   10   10   40,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-13G,日本文化の伝承(b),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本文化の伝承(b)                  Ｇ          1            1                                   LA-13G   10     30   10   10   40,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-13H,日本文化論,2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,目            日本文化論                       Ｇ          2     2     (2)                                  LA-13H   25     30   15   20   10,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-145,データサイエンスリテラシー(1),1,※DS,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,データサイエンスリテラシー(1)            ※DS        1      2    (2)                                  LA-145   25     15   25   20   15,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-241,データサイエンスリテラシー(2),1,※DS,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,データサイエンスリテラシー(2)            ※DS        1     (2)   2                                    LA-241   25     15   25   20   15,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-141,論理学(1a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,報 自 論理学(1a)                                 1     1                                          LA-141   35     35    0   0    30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-142,論理学(1b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,科 然 論理学(1b)                                 1      1                                         LA-142   35     35    0   0    30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-143,論理学(2a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,学 ・ 論理学(2a)                                 1           1                                    LA-143   35     35    0   0    30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-144,論理学(2b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,論理学(2b)                                 1            1                                   LA-144   35     35    0   0    30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-243,生活とメディア,2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,生活とメディア                                2                 2                              LA-243   25     25   25   0    25,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-951,ボランティア(1),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,ボランティア(1)                              1                                                LA-951   25     15   15   25   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-952,ボランティア(2),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,ボランティア(2)                              1                                                LA-952   25     15   15   25   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-953,教養ゼミナール(1),2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,そ   教養ゼミナール(1)                             2     2     (2)                                  LA-953   20     20   20   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-954,教養ゼミナール(2),2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,の   教養ゼミナール(2)                             2      2    (2)                                  LA-954   20     20   20   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-956,教養特別講義(2),2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,教養特別講義(2)                              2      2    (2)                                  LA-956   20     20   20   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,LA-957,教養特別講義(3),2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,教養特別講義(3)                              2      2    (2)                                  LA-957   20     20   20   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,PE-111,基礎体育(1a),0.5,△,共通分野,体育科目,elective-required,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,基礎体育(1a)                          △    0.5   1                                          PE-111   20     0     0   60   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,PE-112,基礎体育(1b),0.5,△,共通分野,体育科目,elective-required,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,体        基礎体育(1b)                          △    0.5    1                                         PE-112   20     0     0   60   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,PE-113,基礎体育(2a),0.5,△,共通分野,体育科目,elective-required,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,育        基礎体育(2a)                          △    0.5         1                                    PE-113   20     0     0   60   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,PE-114,基礎体育(2b),0.5,△,共通分野,体育科目,elective-required,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,科        基礎体育(2b)                          △    0.5          1                                   PE-114   20     0     0   60   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,PE-211,応用体育(1),1,,共通分野,体育科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,応用体育(1)                                1                 2    (2)                       PE-211   20     0     0   60   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,PE-212,応用体育(2),1,,共通分野,体育科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,応用体育(2)                                1                 2    (2)                       PE-212   20     0     0   60   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-117,Reading and Writing(2a),0.5,○,共通分野,外国語科目,required,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,外        科   Reading and Writing(2a)           ○    0.5         1                                    FL-117   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-118,Reading and Writing(2b),0.5,○,共通分野,外国語科目,required,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,Reading and Writing(2b)           ○    0.5          1                                   FL-118   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-217,Test Taking Skills(1a),1,,共通分野,外国語科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,Test Taking Skills(1a)                  1             1    (1)                       FL-217   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-218,Test Taking Skills(1b),1,,共通分野,外国語科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,Test Taking Skills(1b)                  1             1    (1)                       FL-218   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-219,Test Taking Skills(2a),1,,共通分野,外国語科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,Test Taking Skills(2a)                  1             1    (1)                       FL-219   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-22A,Test Taking Skills(2b),1,,共通分野,外国語科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,Test Taking Skills(2b)                  1             1    (1)                       FL-22A   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-22B,Critical Reading(1a),1,,共通分野,外国語科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,Critical Reading(1a)                    1             1    (1)                       FL-22B   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-22C,Critical Reading(1b),1,,共通分野,外国語科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,Critical Reading(1b)                    1             1    (1)                       FL-22C   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-21F,Critical Listening(1a),1,,共通分野,外国語科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,語   Critical Listening(1a)                  1             1    (1)                       FL-21F   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
genshiryoku,原子力安全工学科,rikou,理工学部,FL-21G,Critical Listening(1b),1,,共通分野,外国語科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,科   Critical Listening(1b)                  1             1    (1)                       FL-21G   20     30   10   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
